id,state
1_00029,flights_3-airlines=air canada|flights_3-arrives_next_day=canada|flights_3-departure_date=3rd of march|flights_3-destination_city=seattle|flights_3-flight_class=air canada|flights_3-inbound_arrival_time=4:20 am|flights_3-inbound_departure_time=4:20 am|flights_3-origin_city=seattle|flights_3-outbound_arrival_time=4:20 am|flights_3-outbound_departure_time=4:20 am|flights_3-return_date=3rd of march
1_00030,flights_3-airlines=american|flights_3-arrives_next_day=7th of this month|flights_3-departure_date=7th of this month|flights_3-destination_airport_name=1|flights_3-destination_city=mexico|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=11:40 am|flights_3-inbound_departure_time=11:40 am|flights_3-number_stops=1|flights_3-origin_city=mexico|flights_3-outbound_arrival_time=11:40 am|flights_3-outbound_departure_time=11:40 am|flights_3-return_date=7th of this month
1_00031,flights_3-airlines=delta airlines|flights_3-departure_date=the 6th|flights_3-destination_city=new york|flights_3-flight_class=economy|flights_3-inbound_arrival_time=7:07 pm|flights_3-inbound_departure_time=8:05 am|flights_3-number_checked_bags=zero|flights_3-origin_city=new york|flights_3-outbound_arrival_time=7:07 pm|flights_3-outbound_departure_time=8:05 am|flights_3-passengers=181|flights_3-return_date=new york
1_00032,flights_3-airlines=united|flights_3-departure_date=the 12th|flights_3-destination_airport_name=12|flights_3-destination_city=las vegas|flights_3-flight_class=united|flights_3-inbound_arrival_time=3:39 pm|flights_3-inbound_departure_time=9:35 pm|flights_3-number_checked_bags=12|flights_3-origin_airport_name=12|flights_3-origin_city=las vegas|flights_3-outbound_arrival_time=3:39 pm|flights_3-outbound_departure_time=9:35 pm|flights_3-passengers=12|flights_3-return_date=the 12th
1_00033,flights_3-airlines=delta|flights_3-arrives_next_day=no|flights_3-departure_date=next tuesday|flights_3-destination_city=washington|flights_3-flight_class=delta airlines|flights_3-inbound_arrival_time=6:25 pm|flights_3-inbound_departure_time=6:25 pm|flights_3-number_checked_bags=0|flights_3-origin_city=washington|flights_3-outbound_arrival_time=6:25 pm|flights_3-outbound_departure_time=6:25 pm|flights_3-passengers=1|flights_3-return_date=next tuesday
1_00034,flights_3-airlines=alaska airlines|flights_3-arrives_next_day=11th of march|flights_3-departure_date=11th of march|flights_3-destination_airport_name=flight with alaska airlines|flights_3-destination_city=new york|flights_3-flight_class=alaska airlines|flights_3-inbound_arrival_time=10:20 pm|flights_3-inbound_departure_time=10:20 pm|flights_3-origin_airport_name=10|flights_3-origin_city=new york|flights_3-outbound_arrival_time=10:20 pm|flights_3-outbound_departure_time=10:20 pm|flights_3-return_date=11th of march
1_00035,flights_3-airlines=delta|flights_3-departure_date=3rd of march|flights_3-destination_airport_name=1|flights_3-destination_city=seattle on the 11th from london|flights_3-flight_class=economy|flights_3-inbound_arrival_time=11:50 am|flights_3-inbound_departure_time=11:50 am|flights_3-number_checked_bags=1|flights_3-number_stops=1|flights_3-origin_airport_name=1|flights_3-origin_city=seattle on the 11th from london|flights_3-outbound_arrival_time=11:50 am|flights_3-outbound_departure_time=11:50 am|flights_3-passengers=1|flights_3-return_date=3rd of march
1_00036,flights_3-airlines=southwest|flights_3-departure_date=the 8th|flights_3-destination_airport_name=southwest|flights_3-destination_city=washington|flights_3-flight_class=southwest airlines|flights_3-inbound_arrival_time=4:35 am|flights_3-inbound_departure_time=4:35 am|flights_3-number_checked_bags=4|flights_3-origin_airport_name=atlanta|flights_3-origin_city=washington|flights_3-outbound_arrival_time=4:35 am|flights_3-outbound_departure_time=4:35 am|flights_3-passengers=4|flights_3-return_date=the 8th
1_00037,flights_3-airlines=american|flights_3-arrives_next_day=no|flights_3-departure_date=next monday|flights_3-destination_city=portland|flights_3-flight_class=economy|flights_3-inbound_arrival_time=9:30 am|flights_3-inbound_departure_time=9:30 am|flights_3-number_stops=1|flights_3-origin_city=portland|flights_3-outbound_arrival_time=9:30 am|flights_3-outbound_departure_time=9:30 am|flights_3-passengers=1|flights_3-return_date=next monday
1_00038,flights_3-airlines=delta airlines|flights_3-departure_date=7th of march|flights_3-destination_city=washington|flights_3-flight_class=delta airlines|flights_3-inbound_arrival_time=2:30 pm|flights_3-inbound_departure_time=2:30 pm|flights_3-origin_city=washington|flights_3-outbound_arrival_time=2:30 pm|flights_3-outbound_departure_time=2:30 pm|flights_3-return_date=7th of march
1_00039,flights_3-airlines=british|flights_3-arrives_next_day=british|flights_3-departure_date=march 3rd|flights_3-destination_airport_name=british airways|flights_3-destination_city=chicago|flights_3-flight_class=british airways|flights_3-inbound_arrival_time=11 pm|flights_3-inbound_departure_time=11 pm|flights_3-origin_airport_name=london|flights_3-origin_city=london to chicago|flights_3-outbound_arrival_time=11 pm|flights_3-outbound_departure_time=11 pm|flights_3-return_date=march 3rd
1_00040,flights_3-airlines=american|flights_3-arrives_next_day=inerary|flights_3-departure_date=the 1st|flights_3-destination_city=washington|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=1 pm|flights_3-inbound_departure_time=1 pm|flights_3-origin_city=washington|flights_3-outbound_arrival_time=1 pm|flights_3-outbound_departure_time=1 pm|flights_3-return_date=the 1st
1_00041,flights_3-airlines=american|flights_3-arrives_next_day=11th of march|flights_3-departure_date=11th of march|flights_3-destination_airport_name=11|flights_3-destination_city=mexico|flights_3-flight_class=american|flights_3-inbound_arrival_time=1:40 pm|flights_3-inbound_departure_time=1:40 pm|flights_3-number_checked_bags=11|flights_3-origin_airport_name=11|flights_3-origin_city=mexico|flights_3-outbound_arrival_time=1:40 pm|flights_3-outbound_departure_time=1:40 pm|flights_3-return_date=11th of march
1_00042,flights_3-airlines=american|flights_3-departure_date=thursday next week|flights_3-destination_city=mexico|flights_3-flight_class=american|flights_3-inbound_arrival_time=11:40 am|flights_3-inbound_departure_time=11:40 am|flights_3-origin_city=mexico|flights_3-outbound_arrival_time=11:40 am|flights_3-outbound_departure_time=11:40 am|flights_3-return_date=thursday next week
1_00043,flights_3-airlines=united|flights_3-arrives_next_day=march|flights_3-departure_date=march 13th|flights_3-destination_airport_name=13|flights_3-destination_city=atlanta to chicago|flights_3-flight_class=economy|flights_3-inbound_arrival_time=7:50 pm|flights_3-inbound_departure_time=11:20 am|flights_3-number_checked_bags=13|flights_3-origin_airport_name=13|flights_3-origin_city=chicago|flights_3-outbound_arrival_time=7:50 pm|flights_3-outbound_departure_time=11:20 am|flights_3-passengers=13|flights_3-return_date=march 13th
1_00044,flights_3-airlines=alaska|flights_3-departure_date=march 7th|flights_3-destination_airport_name=alaska airlines|flights_3-destination_city=san diego|flights_3-flight_class=alaska airlines|flights_3-inbound_arrival_time=10:55 pm|flights_3-inbound_departure_time=10:55 pm|flights_3-number_checked_bags=0|flights_3-origin_airport_name=alaska airlines|flights_3-origin_city=san diego|flights_3-outbound_arrival_time=10:55 pm|flights_3-outbound_departure_time=10:55 pm|flights_3-passengers=0|flights_3-return_date=march 7th
1_00045,flights_3-arrives_next_day=american|flights_3-departure_date=next monday|flights_3-destination_city=paris|flights_3-flight_class=american airlines|flights_3-inbound_arrival_time=2:40 pm|flights_3-inbound_departure_time=2:40 pm|flights_3-origin_city=paris|flights_3-outbound_arrival_time=2:40 pm|flights_3-outbound_departure_time=2:40 pm|flights_3-return_date=next monday
